iter	F1	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
68	0.7823696724	0.5198115283	0.6461890714	0.1545625785	0.9912751678	0.9912751678
69	0.7828567477	0.5190492923	0.6471399854	0.1551071879	0.9906040268	0.9906040268
70	0.7836369764	0.5185966805	0.6479199429	0.1555555556	0.9912751678	0.9912751678
71	0.7840950448	0.5177769145	0.648546469	0.1559168162	0.9912751678	0.9912751678
72	0.7843559013	0.5171666462	0.6491913915	0.1562897078	0.9906040268	0.9906040268
73	0.7854003628	0.5165468191	0.6506236479	0.157121567	0.9906040268	0.9906040268
74	0.7854328231	0.5157429093	0.6509580819	0.1573165529	0.9899328859	0.9899328859
75	0.7857770502	0.5154673407	0.6511408085	0.1574232082	0.9906040268	0.9906040268
76	0.7866993646	0.5147962553	0.6524084467	0.1581654522	0.9906040268	0.9906040268
77	0.7869806431	0.5146218773	0.6525043031	0.1582217461	0.9912751678	0.9912751678
78	0.7877657732	0.514136752	0.6532930471	0.1586858493	0.9919463087	0.9919463087
79	0.7888532267	0.5131793912	0.6542065948	0.15922539	0.9932885906	0.9932885906
80	0.7883831028	0.5125036271	0.6538510676	0.1590151597	0.9926174497	0.9926174497
81	0.7882569222	0.5124794603	0.6536775035	0.1589126464	0.9926174497	0.9926174497
82	0.7893382383	0.5092747715	0.655752147	0.1601431205	0.9912751678	0.9912751678
83	0.7899362566	0.5086905723	0.6562839142	0.1604603192	0.9919463087	0.9919463087
84	0.7907247528	0.5081222095	0.6570787111	0.1609357998	0.9926174497	0.9926174497
85	0.7909884967	0.5074148623	0.6580332042	0.1615090213	0.9912751678	0.9912751678
86	0.7914552025	0.5070966722	0.6586794513	0.1618984983	0.9912751678	0.9912751678
87	0.7919012085	0.5066520197	0.6592975088	0.1622720281	0.9912751678	0.9912751678
88	0.7920074745	0.506131135	0.6594448363	0.162361218	0.9912751678	0.9912751678
89	0.7919598946	0.5054934163	0.6596761615	0.1625013762	0.9906040268	0.9906040268
90	0.7918645584	0.5049858123	0.6601402425	0.1627829928	0.989261745	0.989261745
91	0.7919284384	0.5044864002	0.6602290376	0.1628369421	0.989261745	0.989261745
92	0.7920725265	0.5039699078	0.6607288172	0.1631409901	0.988590604	0.988590604
93	0.7924564235	0.5034919111	0.6612632609	0.1634668738	0.988590604	0.988590604
94	0.7935421272	0.5026836901	0.6630786051	0.1645796064	0.9879194631	0.9879194631
95	0.7934564925	0.5024890202	0.6629590306	0.1645060349	0.9879194631	0.9879194631
96	0.7939920128	0.5019537512	0.6637070793	0.1649669394	0.9879194631	0.9879194631
97	0.7947214816	0.5013800155	0.6647271388	0.16559793	0.9879194631	0.9879194631
98	0.7947000075	0.5013657696	0.6646970922	0.1655793026	0.9879194631	0.9879194631
99	0.7959331629	0.5008505461	0.6655112014	0.1660849003	0.9899328859	0.9899328859
100	0.7952372083	0.5000543106	0.6654490706	0.1660462493	0.9879194631	0.9879194631
101	0.7961413425	0.499465846	0.6667162317	0.1668366769	0.9879194631	0.9879194631
102	0.7975473311	0.4985783465	0.6680770468	0.1676905575	0.989261745	0.989261745
103	0.7988029762	0.4977754991	0.6692270355	0.1684162483	0.9906040268	0.9906040268
104	0.7997776557	0.497094794	0.6702891801	0.1690898683	0.9912751678	0.9912751678
105	0.7991268652	0.4966064547	0.6706051509	0.1692908861	0.988590604	0.988590604
106	0.8003220773	0.4956674016	0.6722902216	0.1703678001	0.988590604	0.988590604
107	0.7998660073	0.4948273812	0.6725793769	0.1705534285	0.9865771812	0.9865771812
108	0.800650202	0.4944750713	0.6733764657	0.1710664031	0.9872483221	0.9872483221
109	0.8006720137	0.4941374755	0.673407323	0.1710862991	0.9872483221	0.9872483221
110	0.8010003401	0.4930059712	0.6741849984	0.1715886541	0.9865771812	0.9865771812
111	0.8015030911	0.4927431878	0.674897625	0.1720505618	0.9865771812	0.9865771812
112	0.8022255328	0.4923845205	0.6759227246	0.1727176595	0.9865771812	0.9865771812
113	0.8037125806	0.491463503	0.6774041928	0.1736873156	0.9879194631	0.9879194631
114	0.8036714914	0.4912447135	0.6776616726	0.1738565181	0.9872483221	0.9872483221
115	0.8037813865	0.4912073769	0.6778179578	0.1739593188	0.9872483221	0.9872483221
116	0.8039352901	0.4911595995	0.6780368782	0.1741034442	0.9872483221	0.9872483221
117	0.8044413888	0.490453743	0.6787571849	0.174578685	0.9872483221	0.9872483221
118	0.8045108628	0.4899477937	0.6791738109	0.1748542881	0.9865771812	0.9865771812
119	0.8053672151	0.489189689	0.6800764842	0.1754532443	0.9872483221	0.9872483221
120	0.8054775744	0.4890030239	0.6802338853	0.1755579425	0.9872483221	0.9872483221
121	0.8056762976	0.4885762078	0.6805173911	0.1757467145	0.9872483221	0.9872483221
122	0.8060519311	0.4880061931	0.6810535472	0.1761043936	0.9872483221	0.9872483221
123	0.8060519311	0.4879695559	0.6810535472	0.1761043936	0.9872483221	0.9872483221
124	0.806582834	0.4876868409	0.6818119133	0.1766118382	0.9872483221	0.9872483221
125	0.8070036284	0.486986271	0.6824134853	0.1770156438	0.9872483221	0.9872483221
126	0.8070804865	0.4863957798	0.6831664314	0.1775226586	0.9859060403	0.9859060403
127	0.8081353031	0.4858733948	0.6840334927	0.1781087299	0.9872483221	0.9872483221
