iter	F1	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
222	0.9934592973	0.1919931013	0.9870036002	0.8837485172	1	1
223	0.9934592973	0.1919820355	0.9870036002	0.8837485172	1	1
224	0.9935587653	0.1910615787	0.9871999785	0.8853238265	1	1
225	0.9935256071	0.1910575554	0.9871345104	0.8847980998	1	1
226	0.9935919257	0.1904443863	0.9872654553	0.8858501784	1	1
227	0.9935256071	0.1900661099	0.9871345104	0.8847980998	1	1
228	0.9937909346	0.1892843755	0.9876584984	0.8890214797	1	1
229	0.9938572887	0.1883628449	0.9877895824	0.890083632	1	1
230	0.9944880942	0.1861563517	0.9890366174	0.9003021148	1	1
231	0.9943884401	0.1849785165	0.9888395079	0.8986731001	1	1
232	0.9946209974	0.1838343308	0.9892995525	0.9024833434	1	1
233	0.9946209974	0.1838342878	0.9892995525	0.9024833434	1	1
234	0.9948204188	0.1826969824	0.9896942172	0.905775076	1	1
235	0.9947871763	0.1826969704	0.9896284179	0.9052247874	1	1
236	0.9948869104	0.182093501	0.9898258421	0.9068776628	1	1
237	0.9951197009	0.1812737836	0.9902868051	0.9107579462	1	1
238	0.9951197009	0.1804568589	0.9902868051	0.9107579462	1	1
239	0.9952860466	0.1796634955	0.9906163274	0.9135499693	1	1
240	0.9952860466	0.1796267271	0.9906163274	0.9135499693	1	1
241	0.9952860466	0.1796190854	0.9906163274	0.9135499693	1	1
242	0.9954191632	0.1787986772	0.9908801031	0.9157959435	1	1
243	0.9957188057	0.1770715098	0.9914741124	0.9208899876	1	1
244	0.9956855032	0.1770608178	0.9914080762	0.9203211859	1	1
245	0.9956855032	0.1766345561	0.9914080762	0.9203211859	1	1
246	0.9958520381	0.1751802164	0.9917383452	0.9231722429	1	1
247	0.9958520381	0.1751802064	0.9917383452	0.9231722429	1	1
248	0.9959186677	0.174024471	0.9918705144	0.9243176179	1	1
249	0.9958520381	0.1735699456	0.9917383452	0.9231722429	1	1
250	0.9959853061	0.1725877893	0.9920027189	0.9254658385	1	1
251	0.9959519858	0.1725602667	0.9919366123	0.9248913718	1	1
252	0.9959519858	0.1724122459	0.9919366123	0.9248913718	1	1
253	0.9959519858	0.1720175741	0.9919366123	0.9248913718	1	1
254	0.9959519858	0.1719946078	0.9919366123	0.9248913718	1	1
255	0.9959519858	0.1717227144	0.9919366123	0.9248913718	1	1
256	0.9959519858	0.1708969326	0.9919366123	0.9248913718	1	1
257	0.9959186677	0.1708934647	0.9918705144	0.9243176179	1	1
258	0.9961186098	0.1702494156	0.9922672336	0.9277708593	1	1
259	0.9964186737	0.1686466679	0.9928629076	0.9329993738	1	1
260	0.9963519772	0.1676320742	0.9927304738	0.9318323952	1	1
261	0.9964853791	0.1659960324	0.9929953768	0.934169279	1	1
262	0.9966521817	0.164812523	0.9933267044	0.9371069182	1	1
263	0.9966855489	0.1648109946	0.9933929964	0.9376966646	1	1
264	0.9966855489	0.1648095535	0.9933929964	0.9376966646	1	1
265	0.9968857992	0.1632209486	0.9937909346	0.9412507896	1	1
266	0.9969859545	0.162576233	0.9939900233	0.9430379747	1	1
267	0.9969859545	0.1625737905	0.9939900233	0.9430379747	1	1
268	0.9971863255	0.1616571791	0.9943884401	0.9466327827	1	1
269	0.9972865412	0.1611089292	0.9945877682	0.9484404838	1	1
270	0.9974536121	0.1599325541	0.9949201595	0.9514687101	1	1
271	0.997487033	0.1592784875	0.9949866644	0.9520766773	1	1
272	0.9974536121	0.1585045782	0.9949201595	0.9514687101	1	1
273	0.9975873092	0.1577204626	0.9951862325	0.9539052497	1	1
274	0.9977210421	0.1567913852	0.9954524479	0.9563543004	1	1
275	0.9977210421	0.1563241043	0.9954524479	0.9563543004	1	1
276	0.9978213653	0.1551170543	0.9956522029	0.9581993569	1	1
277	0.9977544809	0.1545871497	0.995519024	0.9569685292	1	1
278	0.9978548109	0.1534111109	0.9957188057	0.9588159588	1	1
279	0.9978548109	0.1526844897	0.9957188057	0.9588159588	1	1
280	0.9978548109	0.1519569222	0.9957188057	0.9588159588	1	1
281	0.9979217087	0.1505661749	0.9958520381	0.9600515464	1	1
282	0.997955161	0.1490818531	0.9959186677	0.9606705351	1	1
283	0.9981224561	0.1482138182	0.9962519492	0.9637774903	1	1
284	0.9981224561	0.1471729601	0.9962519492	0.9637774903	1	1
285	0.9981224561	0.1469370884	0.9962519492	0.9637774903	1	1
286	0.9981224561	0.146344066	0.9962519492	0.9637774903	1	1
287	0.99822286	0.14593369	0.9964520253	0.9656513286	1	1
288	0.9981559218	0.1448717583	0.9963186323	0.9644012945	1	1
289	0.99822286	0.1439608147	0.9964520253	0.9656513286	1	1
290	0.99822286	0.1439574278	0.9964520253	0.9656513286	1	1
291	0.99822286	0.1439442727	0.9964520253	0.9656513286	1	1
292	0.99822286	0.1436566096	0.9964520253	0.9656513286	1	1
293	0.9981224561	0.1431342419	0.9962519492	0.9637774903	1	1
294	0.9981559218	0.1423199609	0.9963186323	0.9644012945	1	1
295	0.9981893898	0.1420453773	0.9963853243	0.9650259067	1	1
296	0.99822286	0.1417495748	0.9964520253	0.9656513286	1	1
297	0.99822286	0.1414859974	0.9964520253	0.9656513286	1	1
298	0.9981893898	0.1412357623	0.9963853243	0.9650259067	1	1
299	0.9982898072	0.1399231675	0.996585454	0.9669046074	1	1
300	0.9983567634	0.139337556	0.9967189184	0.9681611436	1	1
301	0.9983567634	0.1390491684	0.9967189184	0.9681611436	1	1
302	0.9984237286	0.1385996104	0.9968524185	0.9694209499	1	1
303	0.9984907027	0.1375792818	0.9969859545	0.9706840391	1	1
304	0.9984572145	0.1374298145	0.996919182	0.9700520833	1	1
305	0.9986581774	0.1366305286	0.9973199509	0.9738562092	1	1
306	0.9986581774	0.1361199534	0.9973199509	0.9738562092	1	1
307	0.9986581774	0.1357232158	0.9973199509	0.9738562092	1	1
308	0.998691679	0.1350269967	0.997386777	0.9744931328	1	1
309	0.998691679	0.1350240418	0.997386777	0.9744931328	1	1
310	0.998691679	0.1349359905	0.997386777	0.9744931328	1	1
311	0.998725183	0.134460305	0.9974536121	0.9751308901	1	1
312	0.998691679	0.1338061981	0.997386777	0.9744931328	1	1
313	0.998725183	0.1329197972	0.9974536121	0.9751308901	1	1
314	0.9987921976	0.132024448	0.9975873092	0.9764089122	1	1
315	0.9987586891	0.13182295	0.9975204562	0.9757694826	1	1
316	0.9988257082	0.1312194293	0.9976541712	0.9770491803	1	1
317	0.9987921976	0.1309453237	0.9975873092	0.9764089122	1	1
318	0.9988592212	0.1306061635	0.9977210421	0.9776902887	1	1
319	0.9990268195	0.1296316512	0.9980555313	0.9809084924	1	1
320	0.9990268195	0.1296234094	0.9980555313	0.9809084924	1	1
321	0.9989597734	0.1289452573	0.9979217087	0.9796186719	1	1
322	0.9990268195	0.1282546881	0.9980555313	0.9809084924	1	1
323	0.9990268195	0.1275221588	0.9980555313	0.9809084924	1	1
324	0.9990938746	0.1270222068	0.9981893898	0.9822017139	1	1
325	0.9991274055	0.1265285381	0.9982563325	0.9828496042	1	1
326	0.9990603459	0.1255819411	0.9981224561	0.9815546772	1	1
327	0.9990603459	0.124862419	0.9981224561	0.9815546772	1	1
328	0.9990938746	0.1237617429	0.9981893898	0.9822017139	1	1
329	0.9990938746	0.1228951014	0.9981893898	0.9822017139	1	1
330	0.9990938746	0.1225948995	0.9981893898	0.9822017139	1	1
331	0.9990938746	0.1220624234	0.9981893898	0.9822017139	1	1
332	0.9991609387	0.121388957	0.9983232842	0.9834983498	1	1
333	0.9992280117	0.1207254471	0.9984572145	0.9847984137	1	1
334	0.9991944741	0.1196979667	0.9983902448	0.9841479524	1	1
335	0.9991944741	0.1193352845	0.9983902448	0.9841479524	1	1
336	0.9992615517	0.1185477676	0.9985241931	0.9854497354	1	1
337	0.9992615517	0.1180853805	0.9985241931	0.9854497354	1	1
338	0.9992615517	0.1171012406	0.9985241931	0.9854497354	1	1
339	0.9993621849	0.1166208278	0.998725183	0.9874088801	1	1
340	0.9993621849	0.1158855218	0.998725183	0.9874088801	1	1
341	0.9993286383	0.1155355467	0.9986581774	0.9867549669	1	1
342	0.9993621849	0.1150083369	0.998725183	0.9874088801	1	1
343	0.9993621849	0.1142347838	0.998725183	0.9874088801	1	1
344	0.9993621849	0.1136707869	0.998725183	0.9874088801	1	1
345	0.9994963942	0.112708308	0.9989932953	0.9900332226	1	1
346	0.9994628385	0.1122662892	0.9989262537	0.98937583	1	1
347	0.9994963942	0.1116042481	0.9989932953	0.9900332226	1	1
348	0.9994963942	0.1109309331	0.9989932953	0.9900332226	1	1
349	0.9994963942	0.1107377419	0.9989932953	0.9900332226	1	1
350	0.9995299521	0.110303747	0.9990603459	0.9906914894	1	1
351	0.9995635123	0.1095336123	0.9991274055	0.9913506321	1	1
352	0.9995970748	0.1090681332	0.9991944741	0.9920106525	1	1
353	0.9995970748	0.1090540054	0.9991944741	0.9920106525	1	1
354	0.9995970748	0.1085665003	0.9991944741	0.9920106525	1	1
355	0.9995635123	0.1081647617	0.9991274055	0.9913506321	1	1
356	0.9995635123	0.1076722637	0.9991274055	0.9913506321	1	1
357	0.9995299521	0.1071527594	0.9990603459	0.9906914894	1	1
358	0.9995970748	0.1068783844	0.9991944741	0.9920106525	1	1
359	0.9996306395	0.1065572122	0.9992615517	0.9926715523	1	1
360	0.9995635123	0.1058801777	0.9991274055	0.9913506321	1	1
361	0.9996306395	0.1055862485	0.9992615517	0.9926715523	1	1
362	0.9996306395	0.1052300241	0.9992615517	0.9926715523	1	1
363	0.9996306395	0.1048940039	0.9992615517	0.9926715523	1	1
364	0.9995970748	0.1044581622	0.9991944741	0.9920106525	1	1
365	0.9996642064	0.1039680077	0.9993286383	0.9933333333	1	1
366	0.9996642064	0.103616369	0.9993286383	0.9933333333	1	1
367	0.9996977756	0.1029626132	0.9993957339	0.9939959973	1	1
368	0.9996977756	0.1024662183	0.9993957339	0.9939959973	1	1
369	0.9997313471	0.1020995972	0.9994628385	0.9946595461	1	1
370	0.9997649208	0.101805326	0.9995299521	0.9953239813	1	1
371	0.9997649208	0.1014138334	0.9995299521	0.9953239813	1	1
372	0.9997649208	0.1010167986	0.9995299521	0.9953239813	1	1
373	0.9997649208	0.1006050912	0.9995299521	0.9953239813	1	1
374	0.9997649208	0.09996345156	0.9995299521	0.9953239813	1	1
375	0.9997649208	0.0992403793	0.9995299521	0.9953239813	1	1
376	0.9997649208	0.09847870411	0.9995299521	0.9953239813	1	1
377	0.9997649208	0.09780473603	0.9995299521	0.9953239813	1	1
378	0.9997649208	0.09747821848	0.9995299521	0.9953239813	1	1
379	0.9997984968	0.09691933174	0.9995970748	0.9959893048	1	1
380	0.9997984968	0.09658552458	0.9995970748	0.9959893048	1	1
381	0.9997984968	0.0959438966	0.9995970748	0.9959893048	1	1
382	0.9997984968	0.09553260772	0.9995970748	0.9959893048	1	1
383	0.9997984968	0.09515517809	0.9995970748	0.9959893048	1	1
384	0.9997984968	0.09453433207	0.9995970748	0.9959893048	1	1
385	0.9997984968	0.09414031997	0.9995970748	0.9959893048	1	1
386	0.9997984968	0.09371774644	0.9995970748	0.9959893048	1	1
387	0.9997649208	0.0931800816	0.9995299521	0.9953239813	1	1
388	0.9997984968	0.09270897543	0.9995970748	0.9959893048	1	1
389	0.9997984968	0.09204750905	0.9995970748	0.9959893048	1	1
390	0.9998992382	0.091248512	0.9997984968	0.9979906229	1	1
391	0.9998992382	0.09096103301	0.9997984968	0.9979906229	1	1
392	0.9998992382	0.09050906772	0.9997984968	0.9979906229	1	1
393	0.9998992382	0.09003822497	0.9997984968	0.9979906229	1	1
394	0.9999328232	0.08965043961	0.9998656555	0.9986595174	1	1
395	0.9999328232	0.08902904608	0.9998656555	0.9986595174	1	1
396	0.9999328232	0.08876877611	0.9998656555	0.9986595174	1	1
397	0.9999328232	0.08849346067	0.9998656555	0.9986595174	1	1
