iter	F1	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
59	0.9835470887	0.2904401607	0.9676268105	0.7494969819	1	1
60	0.9843275732	0.2849402586	0.969138816	0.7586558045	1	1
61	0.9849789238	0.2814604276	0.9704024349	0.7664609053	1	1
62	0.9852071003	0.2801750289	0.9708454804	0.7692307692	1	1
63	0.9864803067	0.276043622	0.9733213012	0.7850368809	1	1
64	0.9867418841	0.2745878459	0.9738307235	0.7883597884	1	1
65	0.9875602083	0.2706030019	0.9754261107	0.7989276139	1	1
66	0.988019063	0.2661058052	0.9763218129	0.8049702863	1	1
67	0.9880518547	0.2660474811	0.9763858546	0.8054054054	1	1
68	0.9891352017	0.2609355489	0.9785039536	0.8200330215	1	1
69	0.9904185877	0.2557937853	0.9810190398	0.8380202475	1	1
70	0.9912100204	0.2518225848	0.9825732218	0.8494868871	1	1
71	0.9915401574	0.248882324	0.9832222519	0.8543577982	1	1
72	0.9913420488	0.2469477929	0.982832731	0.8514285714	1	1
73	0.9913090384	0.2444131607	0.9827678408	0.8509423187	1	1
74	0.9915071338	0.2429552323	0.9831573103	0.8538681948	1	1
75	0.9914080762	0.2419029758	0.982962537	0.852402746	1	1
76	0.9913750614	0.2419012098	0.9828976297	0.8519153802	1	1
77	0.9923333843	0.2386709505	0.9847834281	0.8662790698	1	1
78	0.9926642702	0.2365965734	0.9854353824	0.8713450292	1	1
79	0.9930947519	0.2347692728	0.9862842146	0.8780200354	1	1
80	0.9937577609	0.230961948	0.9875929695	0.8884913536	1	1
81	0.9939236515	0.2286907284	0.9879207011	0.8911483254	1	1
82	0.9944880942	0.2252217489	0.9890366174	0.9003021148	1	1
83	0.9953858807	0.2216287375	0.990814146	0.9152334152	1	1
84	0.9953858807	0.2216066153	0.990814146	0.9152334152	1	1
85	0.9954857348	0.2204854616	0.9910120437	0.9169230769	1	1
86	0.9958520381	0.2168807625	0.9917383452	0.9231722429	1	1
87	0.9960852806	0.2156184779	0.9922010917	0.9271935283	1	1
88	0.9960852806	0.213441693	0.9922010917	0.9271935283	1	1
89	0.9961186098	0.2114497219	0.9922672336	0.9277708593	1	1
